지층/토사 후보 도면 정밀 텍스트 추출 결과
========================================================================================================================

[대상 파일]
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\1.토공사\C-106~110 단지횡단면도(1)~(5).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\6.가시설공사\C-648 흙막이시공 및 해체 순서도 (1).dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\단면도 모음.dxf
C:\UnityProjects\SafeAR_Wangsuk_Viewer\Assets\StreamingAssets\WangsukDXF\SourceDXF\unzipped\dxf\가시설 상세도 합본.dxf

[키워드 후보 텍스트]
------------------------------------------------------------------------------------------------------------------------
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5294.0, y=2769.4, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5294.0, y=2772.3, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 38.539 | x=5153.7, y=2828.3, layer=주상도, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 매립층 | x=5152.4, y=2827.2, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5152.4, y=2825.4, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5152.4, y=2823.0, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화암 | x=5152.4, y=2819.8, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화토 | x=5152.4, y=2820.8, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | EL.(+) 37.619 | x=5194.8, y=2827.4, layer=주상도, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 매립층 | x=5193.5, y=2826.5, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 퇴적층 | x=5193.5, y=2825.0, layer=Layer, type=BLOCK_TEXT, source=virtual_block
C-106~110 단지횡단면도(1)~(5).dxf | 풍화암 | x=5193.5, y=2820.3, layer=Layer, type=BLOCK_TEXT, source=virtual_block
