토질/암질/굴착심도/EL CAD 문자 검토
============================================================================================================================================

============================================================================================================================================
FILE: C-610 굴착계획 단면도 (5).dxf
hit count: 36

y=3032392.0 | x=-14705149.3 | layer=C-NOTE | text=11. 굴착시 계측을 통하여 공사중 배면지반 및 흙막이 벽체의 과도한 변형조짐이 예상 될 경우 즉시 공사를 중단하고 되메우기 또는 보강
y=3029392.0 | x=-14746407.4 | layer=C-NOTE | text=4. 흙막이벽체의 근입깊이는 최소설계 근입깊이를 확보하여야 하며, 지지층에 확실하게 설치될 수 있도록 관리하여야 한다.
y=3026392.0 | x=-14705149.3 | layer=C-NOTE | text=14. 흙막이 벽체 천공시 천공기록을 전개도상에 표기하여 설계에 반영된 지층조건과의 비교를 통해 토목계획의 적정성을 확인하여야 한다.


============================================================================================================================================
FILE: C-617 굴착계획 전개도 (6).dxf
hit count: 33

y=3097095.5 | x=-14613834.3 | layer=-$$범례TEXT | text=■ 주상도 범례
y=3093509.6 | x=-14613422.6 | layer=C-NOTE | text=실트질모래
y=3092253.4 | x=-14613422.6 | layer=C-NOTE | text=점토질모래
y=3091047.0 | x=-14612767.3 | layer=C-NOTE | text=풍화토
y=3089820.2 | x=-14612760.4 | layer=C-NOTE | text=풍화암
y=3060529.7 | x=-14586744.8 | layer=-$$굴착심도 | text=EL(+)41.00
y=3059529.8 | x=-14541506.4 | layer=-$$굴착심도 | text=EL(+)40.00
y=3059029.8 | x=-14561257.6 | layer=주상도 | text=EL.(+) 39.497
y=3058524.2 | x=-14532189.4 | layer=주상도 | text=EL(+)39.46m
y=3058524.2 | x=-14565949.4 | layer=주상도 | text=EL(+)39.46m
y=3058084.8 | x=-14527497.6 | layer=주상도 | text=EL.(+) 38.552
y=3057877.6 | x=-14562577.3 | layer=Layer | text=매립층
y=3057432.6 | x=-14528817.3 | layer=Layer | text=매립층
y=3056632.6 | x=-14528817.3 | layer=Layer | text=퇴적층
y=3056127.6 | x=-14562577.3 | layer=Layer | text=퇴적층
y=3054632.6 | x=-14528817.3 | layer=Layer | text=퇴적층
y=3054177.6 | x=-14562577.3 | layer=Layer | text=퇴적층
y=3052677.6 | x=-14562577.3 | layer=Layer | text=풍화암
y=3052582.6 | x=-14528817.3 | layer=Layer | text=풍화토
y=3051882.6 | x=-14528817.3 | layer=Layer | text=풍화암
y=3051069.8 | x=-14586744.8 | layer=-$$굴착심도 | text=EL(+)31.54
y=3050869.8 | x=-14564498.0 | layer=-$$굴착심도 | text=EL(+)31.34
y=3050869.8 | x=-14541506.4 | layer=-$$굴착심도 | text=EL(+)31.34
y=3042323.3 | x=-14610496.5 | layer=-$$TEXT | text=시공하한선 : EL(+)31.00m
y=3042323.3 | x=-14576053.1 | layer=-$$TEXT | text=시공하한선 : 기반암층 상단
y=3041862.8 | x=-14542957.8 | layer=-$$TEXT | text=시공하한선 : EL(+)29.54m
y=3041862.8 | x=-14584957.8 | layer=-$$TEXT | text=시공하한선 : EL(+)29.54m
y=3041862.8 | x=-14534087.9 | layer=-$$TEXT | text=시공하한선 : 기반암층 상단
y=3033392.0 | x=-14620257.4 | layer=C-NOTE | text=1. 본 설계는 대표 주상도를 기준으로여 설계하였으므로, 시험천공에 따른 지층조건이 상이 할 경우 재검토를 실시하여야 한다.
